country,1996,2002,2005,2008,2012,2000,1986,1987,1991,1992,1993,1994,1995,1997,1998,1999,2001,2003,2004,2006,2007,2009,2010,2011,2013,2014,1983,1985,1988,1990,1981,1982,1984,1989
Albania,12.36,16.61,9.79,6.11,6.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,NA,NA,NA,54.52,NA,54.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argentina,8.98,25.4,11.36,6.79,3.69,12.12,0,2.22,3.91,4.48,5.16,5.39,8.23,8.48,9.77,10.15,17.05,19.14,14.59,8.7,7.13,6.41,4.99,3.6,3.63,4.28,NA,NA,NA,NA,NA,NA,NA,NA
Armenia,40.42,49.45,24.7,12.92,17.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.02,53.09,45.48,33.93,20.04,21.92,16.35,21.65,19.03,16.97,14.62,NA,NA,NA,NA,NA,NA,NA,NA
Azerbaijan,NA,0.24,0,2.51,NA,NA,NA,NA,NA,NA,NA,NA,24.78,NA,NA,NA,16.32,0.35,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bangladesh,NA,NA,62.96,NA,NA,70.06,NA,NA,82.37,NA,NA,NA,73.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.8,NA,NA,NA,81.23,76.79,81.52,NA,NA,NA,NA,NA
Belarus,NA,10.01,2.22,0.47,0.07,25.51,NA,NA,NA,NA,2.7,NA,2.62,NA,36.14,31.61,13.95,8.29,3.83,0.9,0.93,0.54,0.17,0.04,0,0,NA,NA,0.64,NA,NA,NA,NA,NA
Belize,28.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.3,24.36,21.55,34.64,32.64,27.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Benin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.22,NA,NA,NA,NA,NA,75.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bhutan,NA,NA,NA,NA,13.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.9,NA,NA,28.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolivia,NA,36.85,32.24,20.73,15.77,41.38,NA,NA,NA,35.91,NA,NA,NA,30.98,NA,37.43,35.77,NA,27.98,29.24,27.31,19.2,NA,14.63,13.35,12.69,NA,NA,NA,24.84,NA,NA,NA,NA
