countyname,FIPS,statename,income_median,edu_hs,race_black,race_other,pop_density
Autauga County,1001,Alabama,54366,0.866569526237213,0.192075097030418,0.0186298402382887,36.40081614616
Baldwin County,1003,Alabama,49626,0.895544753159329,0.0988601326263924,0.01925431385581,45.8309001149552
Barbour County,1005,Alabama,34971,0.762004004905075,0.481868561014617,0.0129430579834121,11.7249729224469
Bibb County,1007,Alabama,39546,0.799316199183215,0.223540389229539,0.00817559761841287,13.8479138529777
Blount County,1009,Alabama,45567,0.799677959763539,0.0203745733640569,0.0112441310487015,34.5434462087961
Bullock County,1011,Alabama,26580,0.636570757176432,0.707357859531773,0.0190449646971386,6.58850827329195
Butler County,1013,Alabama,32512,0.766,0.443880567599527,0.0137465510445408,10.3484176526958
Calhoun County,1015,Alabama,41123,0.807512345794367,0.215742434176473,0.0166499879222886,73.9714061811775
Chambers County,1017,Alabama,34116,0.794731107005974,0.400575184880855,0.0112102359431858,22.076915830873
Cherokee County,1019,Alabama,38013,0.82614459225351,0.0513115950378308,0.00891039674309636,16.538322615998
Chilton County,1021,Alabama,41450,0.785920995295819,0.109535407798593,0.0116318772620701,23.9294952614601
Choctaw County,1023,Alabama,35049,0.751323811160152,0.426705696915109,0.0050288973954815,5.66730014810293
Clarke County,1025,Alabama,36620,0.812830696314617,0.446542393265183,0.00958107837241932,7.58594016366653
Clay County,1027,Alabama,35940,0.764286267818879,0.152449822904368,0.00885478158205431,8.57375340879943
Cleburne County,1029,Alabama,40418,0.773681827970444,0.0409151193633952,0.00669761273209549,10.3809315684858
Coffee County,1031,Alabama,46931,0.845515580091661,0.184309257695103,0.0376947101691253,28.5164431685227
Colbert County,1033,Alabama,43057,0.849505860848315,0.168509249582898,0.0124122252168014,34.1147559273015
Conecuh County,1035,Alabama,29101,0.770262231637222,0.467482241515391,0.00655090765588003,5.45679547128405
Coosa County,1037,Alabama,34679,0.773868295615511,0.322983648723131,0.00992099944883336,6.4476421442285
Covington County,1039,Alabama,36149,0.815847441955811,0.134594081341985,0.0115524608324102,14.2458383832731
Crenshaw County,1041,Alabama,34445,0.785495894311331,0.247120269013379,0.0241825856764685,8.91412436216117
Cullman County,1043,Alabama,39922,0.83647656243114,0.0166935255692652,0.0126462374983085,41.439374909578
Dale County,1045,Alabama,41940,0.852324742521551,0.206086815940506,0.0261094495190365,33.6565909631695
Dallas County,1047,Alabama,26602,0.78612183461159,0.699383855577665,0.00774376063868044,16.0470623014419
DeKalb County,1049,Alabama,36241,0.75430834028594,0.0242735523816225,0.0360092872722156,35.281038953737
Elmore County,1051,Alabama,54298,0.885863764605266,0.216864047816047,0.01406572236561,46.2208719124636
Escambia County,1053,Alabama,37077,0.802657241288863,0.329605385206583,0.0398855113561074,15.3361976886488
Etowah County,1055,Alabama,39904,0.827106138215089,0.159623687591156,0.0177048420279916,75.3749930646988
Fayette County,1057,Alabama,35664,0.7656883758774,0.123859191655802,0.0080597368732962,10.1879183697829
Franklin County,1059,Alabama,33881,0.76546354310626,0.0496186829530711,0.021138571564191,18.8504705694692
Geneva County,1061,Alabama,34425,0.80128556139282,0.102538185085355,0.0151242887091944,18.1393850994694
Greene County,1063,Alabama,26504,0.774332728873867,0.808371331696481,0.0044428855372384,4.85300697863833
Hale County,1065,Alabama,33315,0.828415327336728,0.58436512118019,0.00441253951527924,8.86621856014173
Henry County,1067,Alabama,39930,0.811880449734635,0.278941244909831,0.0108784176847004,11.2168713443795
Houston County,1069,Alabama,40124,0.853854813573343,0.272811033370764,0.0167477661647136,69.8830879156603
Jackson County,1071,Alabama,36923,0.761453857594702,0.0404443178581601,0.026791987088199,18.2067636328771
Jefferson County,1073,Alabama,44852,0.882943394098328,0.433580561537425,0.0212502251083168,219.536904736984
Lamar County,1075,Alabama,34553,0.790608653829351,0.117563538264944,0.00276870651710919,9.06623434198429
